,,,,,,,,Fantasy,,Fantasy per Game,,
Rk,Player,FantPt,Season,Age,Team,G,GS,FantPt,PPR,FantPt,PPR/G,Pos
1,Keenan Allen,148.6,2013,21,SDG,15,14,148.6,219.6,9.91,14.64,WR
2,Cordarrelle Patterson,116.7,2013,22,MIN,16,6,116.7,161.7,7.29,10.11,WR
3,Terrance Williams,102,2013,24,DAL,16,8,102,146,6.38,9.13,WR
4,Marlon Brown,96.2,2013,22,BAL,14,12,96.2,145.2,6.87,10.37,WR
5,Kenny Stills,95.1,2013,21,NOR,16,10,95.1,127.1,5.94,7.94,WR
6,Tavon Austin,90.9,2013,23,STL,13,3,90.9,130.9,6.99,10.07,WR
7,DeAndre Hopkins,90.2,2013,21,HOU,16,16,90.2,142.2,5.64,8.89,WR
8,Robert Woods,80.3,2013,21,BUF,14,14,80.3,120.3,5.74,8.59,WR
9,Aaron Dobson,75.9,2013,22,NWE,12,9,75.9,112.9,6.33,9.41,WR
10,Kenbrell Thompkins,70.6,2013,25,NWE,12,8,70.6,102.6,5.88,8.55,WR
11,Ace Sanders,59.6,2013,22,JAX,15,4,59.6,110.6,3.97,7.37,WR
12,Justin Hunter,59.4,2013,22,TEN,14,0,59.4,77.4,4.24,5.53,WR
13,Marquise Goodwin,45.6,2013,23,BUF,12,1,45.6,62.6,3.8,5.22,WR
14,Stedman Bailey,31.9,2013,23,STL,16,2,31.9,48.9,1.99,3.06,WR
15,Da'Rick Rogers,31.2,2013,22,IND,5,3,31.2,45.2,6.24,9.04,WR
16,Kerry Taylor,28.9,2013,24,"ARI,JAX",10,4,28.9,50.9,2.89,5.09,WR
17,Darius Johnson,25,2013,22,ATL,10,2,25,47,2.5,4.7,WR
18,Jaron Brown,20,2013,23,ARI,16,0,20,31,1.25,1.94,WR
19,Brittan Golden,13.6,2013,25,ARI,5,0,13.6,17.6,2.72,3.52,WR
20,Josh Boyce,12.1,2013,22,NWE,9,3,12.1,21.1,1.34,2.34,WR
21,Brice Butler,10.3,2013,23,OAK,10,2,10.3,19.3,1.03,1.93,WR
22,Chris Hogan,8.3,2013,26,BUF,16,0,8.3,18.3,0.52,1.14,WR
23,Derek Moye,8,2013,25,PIT,7,0,8,10,1.14,1.43,WR
24,Nick Toon,6.8,2013,25,NOR,8,3,6.8,10.8,0.85,1.35,WR
25,Myles White,6.6,2013,23,GNB,7,0,6.6,15.6,0.94,2.23,WR
26,Markus Wheaton,6.4,2013,22,PIT,12,1,6.4,12.4,0.53,1.03,WR
27,Quinton Patton,6,2013,23,SFO,6,0,6,9,1,1.5,WR
28,Patrick Edwards,4.6,2013,25,DET,4,2,4.6,9.6,1.15,2.4,WR
29,Eric Page,4.2,2013,22,TAM,16,1,4.2,8.2,0.26,0.51,WR
30,Nick Williams,3.5,2013,23,WAS,5,0,3.5,6.5,0.7,1.3,WR
31,Lamaar Thomas,3.1,2013,23,JAX,2,0,3.1,5.1,1.55,2.55,WR
32,Skye Dawson,2.7,2013,23,TAM,7,0,2.7,4.7,0.39,0.67,WR
33,Denard Robinson,2.6,2013,23,JAX,16,0,2.6,2.6,0.16,0.16,WR
34,Jeremy Ebert,1.8,2013,24,JAX,5,0,1.8,4.8,0.36,0.96,WR
35,Tori Gurley,1.5,2013,26,CLE,3,0,1.5,2.5,0.5,0.83,WR
36,Marquess Wilson,1.3,2013,21,CHI,10,1,1.3,3.3,0.13,0.33,WR
37,Brian Tyms,1.2,2013,24,CLE,7,0,1.2,3.2,0.17,0.46,WR
38,Michael Campbell,,2013,24,NYJ,4,0,,,,,WR
39,B.J. Cunningham,,2013,24,PHI,2,0,,,,,WR
40,Chris Harper,,2013,24,GNB,4,0,,,,,WR
41,Greg Jenkins,,2013,24,OAK,6,0,,,,,WR
42,Lance Lewis,,2013,25,WAS,3,0,,,,,WR
43,Tobais Palmer,,2013,23,JAX,1,0,,,,,WR
44,Russell Shepard,,2013,23,TAM,14,0,,,,,WR
45,Brandon Smith,,2013,26,BUF,2,0,,,,,WR
46,Rodney Smith,,2013,23,MIN,4,0,,,,,WR
47,Ryan Spadola,,2013,22,"MIA,NYJ",4,0,,,,,WR
48,Julian Talley,,2013,24,NYG,2,0,,,,,WR
49,Justin Veltung,,2013,22,STL,3,0,,,,,WR
